pitch_type,game_date,balls,strikes,outs_when_up,inning,at_bat_number,pitch_number,pitcher_days_since_prev_game,run_diff,runners_on,prev_release_speed,prev_release_spin_rate,prev_pitch_type_FF,prev_pitch_type_FS,prev_pitch_type_SI,prev_pitch_type_SL,stand_L,stand_R,p_throws_R
FS,2025-10-20,0.9487247641998899,1.0046577896260382,1.2255520542061398,7,1.9247940005621964,0.8851617868123863,-3.44002905887928,-1.0823358864560708,1.9718238382609008,-0.9234999194732312,-0.9788202594805605,False,True,False,False,True,False,True
FF,2025-10-25,-1.1875645649774846,-0.37634459355255023,-1.2534601889308965,1,-1.5864979440721625,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,1.0061983052010366,0.7761266329934414,True,False,False,False,True,False,True
FF,2025-10-25,-1.1875645649774846,1.0046577896260382,-1.2534601889308965,1,-1.5864979440721625,-0.3858397532259121,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,1.0635160742507666,0.7356038805917327,True,False,False,False,True,False,True
FF,2025-10-25,-0.11941990038879732,-1.7573469767311387,-0.013954067362378418,1,-1.5214740191715264,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,1.0635160742507666,0.6763783193892352,True,False,False,False,False,True,True
SL,2025-10-25,-0.11941990038879732,-0.37634459355255023,-0.013954067362378418,1,-1.5214740191715264,-0.3858397532259121,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,0.8724568440849977,0.8727578117975161,True,False,False,False,False,True,True
SL,2025-10-25,-0.11941990038879732,1.0046577896260382,-0.013954067362378418,1,-1.5214740191715264,0.24966101679323716,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-0.8088643813737683,0.8072979809947558,False,False,False,True,False,True,True
FF,2025-10-25,0.9487247641998899,1.0046577896260382,-0.013954067362378418,1,-1.5214740191715264,0.8851617868123863,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-0.8470762274069226,1.0286145518040881,False,False,False,True,False,True,True
FS,2025-10-25,-0.11941990038879732,-1.7573469767311387,1.2255520542061398,1,-1.45645009427089,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-1.0763473036058457,-1.4557418839006713,False,True,False,False,True,False,True
FF,2025-10-25,0.9487247641998899,-1.7573469767311387,1.2255520542061398,1,-1.45645009427089,-0.3858397532259121,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-1.05724138058927,-1.0692171686843723,False,True,False,False,True,False,True
FS,2025-10-25,0.9487247641998899,-0.37634459355255023,1.2255520542061398,1,-1.45645009427089,0.24966101679323716,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,0.910668690118152,1.013028877803431,True,False,False,False,True,False,True
FS,2025-10-25,0.9487247641998899,1.0046577896260382,1.2255520542061398,1,-1.45645009427089,0.8851617868123863,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-1.0381354575726915,-1.2063710998901558,False,True,False,False,True,False,True
FF,2025-10-25,0.9487247641998899,1.0046577896260382,1.2255520542061398,1,-1.45645009427089,1.5206625568315355,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-1.05724138058927,-1.1315598646870013,False,True,False,False,True,False,True
FF,2025-10-25,0.9487247641998899,1.0046577896260382,1.2255520542061398,1,-1.45645009427089,2.1561633268506846,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,0.8533509210684191,0.7013153977902867,True,False,False,False,True,False,True
